abc1,notBornUK,medianIncome,medianAge,withHigherEd,voteBrexit
0.30875576,0.18487395,0.365979381,0.272727273,0.085526316,TRUE
0.34562212,0.155462185,0.391752577,0.318181818,0.125,TRUE
0.65437788,0.210084034,0.479381443,0.363636364,0.407894737,TRUE
0.668202765,0.130252101,0.489690722,0.545454545,0.453947368,FALSE
0.608294931,0.428571429,0.43814433,0.136363636,0.526315789,FALSE
0.33640553,0.697478992,0.458762887,0.136363636,0.296052632,TRUE
0.820276498,0.289915966,0.670103093,0.5,0.618421053,FALSE
0.880184332,0.193277311,0.680412371,0.5,0.657894737,FALSE
0.529953917,0.31092437,0.396907216,0.272727273,0.355263158,TRUE
0.705069124,0.256302521,0.304123711,0.227272727,0.578947368,FALSE
0.451612903,0.18907563,0.257731959,0.181818182,0.243421053,TRUE
0.396313364,0.294117647,0.242268041,0.090909091,0.263157895,TRUE
0.32718894,0.058823529,0.159793814,0.818181818,0.217105263,TRUE
0.267281106,0.021008403,0.237113402,0.590909091,0.184210526,TRUE
0.576036866,0.06302521,0.257731959,0.636363636,0.453947368,TRUE
0.483870968,0.050420168,0.283505155,0.590909091,0.388157895,TRUE
0.396313364,0.050420168,0.18556701,0.681818182,0.342105263,TRUE
0.313364055,0.042016807,0.097938144,0.727272727,0.276315789,TRUE
0.543778802,0.109243697,0.237113402,0.590909091,0.388157895,TRUE
0.488479263,0.294117647,0.31443299,0.409090909,0.355263158,TRUE
0.562211982,0.109243697,0.422680412,0.5,0.335526316,TRUE
0.640552995,0.163865546,0.31443299,0.454545455,0.453947368,TRUE
0.67281106,0.243697479,0.484536082,0.409090909,0.493421053,FALSE
0.788018433,0.516806723,0.474226804,0.045454545,0.842105263,FALSE
0.529953917,0.147058824,0.371134021,0.545454545,0.375,TRUE
0.156682028,0.121848739,0.18556701,0.636363636,0.019736842,TRUE
0.566820276,0.142857143,0.386597938,0.545454545,0.348684211,TRUE
0.737327189,0.172268908,0.489690722,0.545454545,0.657894737,FALSE
0.207373272,0.008403361,0.149484536,0.727272727,0.217105263,TRUE
0.184331797,0.016806723,0.128865979,0.636363636,0.125,TRUE
0.230414747,0.054621849,0.144329897,0.590909091,0.203947368,TRUE
0.230414747,0.012605042,0.592783505,0.681818182,0.171052632,TRUE
0.276497696,0.025210084,0.067010309,0.818181818,0.335526316,TRUE
0.423963134,0.050420168,0.195876289,0.863636364,0.486842105,FALSE
0.32718894,0.016806723,0.231958763,0.636363636,0.230263158,TRUE
0.147465438,0.016806723,0.108247423,0.590909091,0.046052632,TRUE
0.276497696,0.033613445,0.206185567,0.590909091,0.177631579,TRUE
0.493087558,0.021008403,0.201030928,0.818181818,0.486842105,TRUE
0.31797235,0.029411765,0.268041237,0.545454545,0.164473684,TRUE
0.437788018,0.029411765,0.18556701,0.636363636,0.388157895,TRUE
0.34562212,0.004201681,0.134020619,0.727272727,0.203947368,TRUE
0.433179724,0.033613445,0.355670103,0.5,0.302631579,TRUE
0.451612903,0.054621849,0.226804124,0.909090909,0.381578947,TRUE
0.525345622,0.168067227,0.170103093,0.181818182,0.368421053,FALSE
0.341013825,0.054621849,0.201030928,0.681818182,0.309210526,TRUE
0.285714286,0.046218487,0.036082474,0.727272727,0.223684211,TRUE
0.447004608,0.046218487,0.164948454,0.818181818,0.348684211,TRUE
0.170506912,0.025210084,0.041237113,0.818181818,0.190789474,TRUE
0.414746544,0.050420168,0.170103093,0.863636364,0.401315789,TRUE
0.488479263,0.067226891,0.273195876,0.909090909,0.276315789,TRUE
0.599078341,0.050420168,0.304123711,0.954545455,0.342105263,TRUE
0.419354839,0.088235294,0.113402062,0.727272727,0.322368421,TRUE
0.460829493,0.067226891,0.288659794,0.909090909,0.421052632,TRUE
0.331797235,0.06302521,0.195876289,0.727272727,0.210526316,TRUE
0.414746544,0.18487395,0.159793814,0.636363636,0.263157895,TRUE
0.299539171,0.12605042,0.170103093,0.545454545,0.177631579,TRUE
0.539170507,0.100840336,0.288659794,0.727272727,0.388157895,FALSE
0.585253456,0.088235294,0.309278351,0.772727273,0.375,TRUE
0.396313364,0.096638655,0.283505155,0.409090909,0.111842105,TRUE
0.66359447,0.105042017,0.386597938,0.5,0.375,TRUE
0.543778802,0.172268908,0.242268041,0.363636364,0.328947368,TRUE
0.622119816,0.130252101,0.551546392,0.545454545,0.282894737,TRUE
0.488479263,0.033613445,0.453608247,0.772727273,0.243421053,TRUE
0.225806452,0.042016807,0.231958763,0.863636364,0.046052632,TRUE
0.69124424,0.096638655,0.412371134,0.590909091,0.453947368,TRUE
0.658986175,0.172268908,0.355670103,0.409090909,0.559210526,FALSE
0.322580645,0.033613445,0.201030928,0.727272727,0.25,TRUE
0.3640553,0.159663866,0.201030928,0.363636364,0.203947368,TRUE
0.516129032,0.06302521,0.319587629,0.681818182,0.473684211,FALSE
0.580645161,0.079831933,0.329896907,0.636363636,0.407894737,TRUE
0.631336406,0.163865546,0.520618557,0.454545455,0.414473684,TRUE
0.65437788,0.117647059,0.396907216,0.681818182,0.5,FALSE
0.576036866,0.100840336,0.31443299,0.5,0.348684211,TRUE
0.677419355,0.067226891,0.453608247,0.681818182,0.394736842,TRUE
0.396313364,0.075630252,0.283505155,0.5,0.184210526,TRUE
0.847926267,0.138655462,0.68556701,0.545454545,0.592105263,FALSE
0.34562212,0.058823529,0.288659794,0.681818182,0.203947368,TRUE
0.497695853,0.075630252,0.24742268,0.818181818,0.335526316,TRUE
0.511520737,0.289915966,0.381443299,0.318181818,0.269736842,TRUE
0.608294931,0.117647059,0.381443299,0.636363636,0.414473684,TRUE
0.405529954,0.18487395,0.5,0.454545455,0.131578947,TRUE
0.626728111,0.159663866,0.443298969,0.454545455,0.427631579,TRUE
0.66359447,0.281512605,0.381443299,0.454545455,0.421052632,TRUE
0.66359447,0.151260504,0.567010309,0.5,0.513157895,FALSE
0.709677419,0.222689076,0.479381443,0.5,0.5,TRUE
0.585253456,0.428571429,0.546391753,0.227272727,0.460526316,TRUE
0.442396313,0.134453782,0.304123711,0.5,0.263157895,TRUE
0.576036866,0.168067227,0.350515464,0.363636364,0.335526316,TRUE
0.456221198,0.172268908,0.458762887,0.318181818,0.197368421,TRUE
0.30875576,0.226890756,0.298969072,0.409090909,0.144736842,TRUE
0.534562212,0.134453782,0.371134021,0.5,0.289473684,TRUE
0.668202765,0.113445378,0.360824742,0.590909091,0.453947368,TRUE
0.373271889,0.134453782,0.283505155,0.681818182,0.190789474,TRUE
0.31797235,0.067226891,0.345360825,0.5,0.118421053,TRUE
0.276497696,0.121848739,0.056701031,0.590909091,0.138157895,TRUE
0.589861751,0.088235294,0.510309278,0.545454545,0.328947368,TRUE
0.142857143,0.105042017,0.175257732,0.409090909,0.118421053,TRUE
0.479262673,0.029411765,0.268041237,0.545454545,0.348684211,TRUE
0.612903226,0.054621849,0.221649485,0.818181818,0.394736842,TRUE
0.175115207,0.096638655,0.149484536,0.409090909,0.118421053,TRUE
0.165898618,0.163865546,0.221649485,0.409090909,0.151315789,TRUE
0.373271889,0.214285714,0.056701031,0.227272727,0.263157895,TRUE
0.552995392,0.029411765,0.37628866,0.727272727,0.506578947,TRUE
0.368663594,0.046218487,0.149484536,0.5,0.276315789,TRUE
0.497695853,0.029411765,0.25257732,0.590909091,0.309210526,TRUE
0.410138249,0.033613445,0.226804124,0.590909091,0.282894737,TRUE
0.423963134,0.021008403,0.164948454,0.818181818,0.223684211,TRUE
0.520737327,0.084033613,0.340206186,0.545454545,0.269736842,TRUE
0.506912442,0.155462185,0.31443299,0.409090909,0.322368421,TRUE
0.451612903,0.037815126,0.268041237,0.636363636,0.25,TRUE
0.396313364,0.033613445,0.201030928,0.590909091,0.256578947,TRUE
0.506912442,0.243697479,0.087628866,0.545454545,0.269736842,TRUE
0.055299539,0.24789916,0.06185567,0.545454545,0.026315789,TRUE
0.193548387,0.029411765,0.211340206,0.909090909,0.098684211,TRUE
0.271889401,0.147058824,0.077319588,0.181818182,0.184210526,TRUE
0.488479263,0.058823529,0.24742268,0.681818182,0.289473684,TRUE
0.184331797,0.138655462,0.237113402,0.681818182,0.039473684,TRUE
0.428571429,0.088235294,0.149484536,0.636363636,0.289473684,TRUE
0.382488479,0.037815126,0.211340206,0.727272727,0.282894737,TRUE
0.262672811,0.121848739,0.087628866,0.681818182,0.111842105,TRUE
0.470046083,0.037815126,0.154639175,0.772727273,0.230263158,TRUE
0.147465438,0.084033613,0.056701031,0.636363636,0,TRUE
0.239631336,0.105042017,0.134020619,0.727272727,0.125,TRUE
0.262672811,0.037815126,0.113402062,1,0.203947368,TRUE
0.410138249,0.201680672,0.180412371,0.136363636,0.342105263,FALSE
0.488479263,0.054621849,0.257731959,0.681818182,0.328947368,TRUE
0.548387097,0.071428571,0.381443299,0.636363636,0.375,TRUE
0.447004608,0.075630252,0.407216495,0.590909091,0.256578947,TRUE
0.373271889,0.121848739,0.221649485,0.454545455,0.230263158,TRUE
0.391705069,0.268907563,0.231958763,0.272727273,0.243421053,TRUE
0.658986175,0.071428571,0.402061856,0.636363636,0.427631579,TRUE
0.299539171,0.193277311,0.190721649,0.5,0.157894737,TRUE
0.483870968,0.037815126,0.18556701,0.818181818,0.447368421,TRUE
0.529953917,0.046218487,0.118556701,0.772727273,0.453947368,TRUE
0.626728111,0.12605042,0.257731959,0.681818182,0.506578947,FALSE
0.511520737,0.117647059,0.283505155,0.5,0.322368421,TRUE
0.331797235,0.037815126,0.113402062,0.818181818,0.335526316,TRUE
0.230414747,0.050420168,0.149484536,0.818181818,0.217105263,TRUE
0.161290323,0.016806723,0.164948454,0.545454545,0.026315789,TRUE
0.221198157,0.050420168,0.195876289,0.636363636,0.157894737,TRUE
0.516129032,0.105042017,0.391752577,0.545454545,0.355263158,TRUE
0.474654378,0.067226891,0.273195876,0.590909091,0.282894737,TRUE
0.165898618,0.067226891,0.077319588,0.5,0.059210526,TRUE
0.811059908,0.084033613,0.402061856,0.590909091,0.631578947,FALSE
0.511520737,0.176470588,0.391752577,0.454545455,0.355263158,TRUE
0.700460829,0.5,0.453608247,0,0.723684211,FALSE
0.709677419,0.134453782,0.5,0.590909091,0.572368421,FALSE
0.603686636,0.113445378,0.412371134,0.590909091,0.473684211,FALSE
0.387096774,0.079831933,0.154639175,0.681818182,0.348684211,FALSE
0.281105991,0.054621849,0.164948454,0.681818182,0.203947368,TRUE
0.34562212,0.071428571,0.144329897,0.681818182,0.276315789,TRUE
0.442396313,0.092436975,0.24742268,0.636363636,0.355263158,TRUE
0.216589862,0.008403361,0.262886598,0.5,0.078947368,TRUE
0.294930876,0.121848739,0.113402062,0.5,0.236842105,TRUE
0.562211982,0.033613445,0.365979381,0.681818182,0.361842105,TRUE
0.331797235,0.054621849,0.170103093,0.545454545,0.210526316,TRUE
0.520737327,0.012605042,0.324742268,0.727272727,0.276315789,TRUE
0.562211982,0.075630252,0.24742268,0.636363636,0.407894737,TRUE
0.34562212,0.004201681,0.226804124,0.727272727,0.243421053,TRUE
0.281105991,0.029411765,0.190721649,0.454545455,0.085526316,TRUE
0.465437788,0.054621849,0.18556701,0.772727273,0.296052632,TRUE
0.281105991,0.18487395,0.190721649,0.318181818,0.164473684,TRUE
0.474654378,0.050420168,0.293814433,0.727272727,0.309210526,TRUE
0.433179724,0.121848739,0.273195876,0.590909091,0.263157895,TRUE
0.207373272,0.033613445,0.092783505,0.727272727,0.092105263,TRUE
0.912442396,0.306722689,0.644329897,0.5,0.756578947,FALSE
0.778801843,0.268907563,0.567010309,0.454545455,0.552631579,FALSE
0.797235023,0.25210084,0.551546392,0.363636364,0.644736842,FALSE
0.778801843,0.147058824,0.448453608,0.681818182,0.605263158,FALSE
0.741935484,0.18907563,0.5,0.454545455,0.5,TRUE
0.631336406,0.226890756,0.628865979,0.5,0.302631579,TRUE
0.801843318,0.210084034,0.582474227,0.545454545,0.513157895,TRUE
0.737327189,0.12605042,0.515463918,0.590909091,0.480263158,TRUE
0.801843318,0.159663866,0.577319588,0.590909091,0.657894737,FALSE
0.741935484,0.336134454,0.484536082,0.409090909,0.611842105,FALSE
0.350230415,0.016806723,0.283505155,0.636363636,0.144736842,TRUE
0.239631336,0.088235294,0.283505155,0.5,0.111842105,TRUE
0.451612903,0.180672269,0.453608247,0.5,0.355263158,TRUE
0.640552995,0.075630252,0.319587629,0.772727273,0.486842105,TRUE
0.732718894,0.176470588,0.422680412,0.409090909,0.618421053,FALSE
0.437788018,0.075630252,0.231958763,0.636363636,0.197368421,TRUE
0.405529954,0.121848739,0.180412371,0.818181818,0.217105263,TRUE
0.589861751,0.113445378,0.170103093,0.818181818,0.460526316,TRUE
0.410138249,0.344537815,0.31443299,0.272727273,0.190789474,TRUE
0.723502304,0.142857143,0.510309278,0.590909091,0.493421053,FALSE
0.529953917,0.138655462,0.278350515,0.590909091,0.302631579,TRUE
0.64516129,0.033613445,0.350515464,0.681818182,0.414473684,TRUE
0.552995392,0.054621849,0.097938144,0.863636364,0.5,TRUE
0.30875576,0.109243697,0.041237113,0.409090909,0.164473684,TRUE
0.456221198,0.113445378,0.273195876,0.363636364,0.342105263,TRUE
0.497695853,0.067226891,0.226804124,0.727272727,0.368421053,TRUE
0.30875576,0.033613445,0.118556701,0.681818182,0.203947368,TRUE
0.30875576,0.172268908,0.164948454,0.363636364,0.203947368,TRUE
0.456221198,0.12605042,0.371134021,0.454545455,0.289473684,TRUE
0.419354839,0.43697479,0.201030928,0,0.375,FALSE
0.216589862,0.180672269,0.144329897,0.318181818,0.111842105,TRUE
0.211981567,0.172268908,0.175257732,0.363636364,0.131578947,TRUE
0.3640553,0.180672269,0.190721649,0.227272727,0.203947368,TRUE
0.552995392,0.088235294,0.309278351,0.545454545,0.394736842,FALSE
0.248847926,0.092436975,0.159793814,0.454545455,0.085526316,TRUE
0.640552995,0.172268908,0.396907216,0.454545455,0.5,FALSE
0.248847926,0.025210084,0.25257732,0.5,0.138157895,TRUE
0.142857143,0.004201681,0.190721649,0.454545455,0.032894737,TRUE
0.341013825,0.147058824,0.221649485,0.227272727,0.210526316,FALSE
0.248847926,0.012605042,0.216494845,0.545454545,0.171052632,TRUE
0.414746544,0.037815126,0.221649485,0.681818182,0.25,FALSE
0.373271889,0.037815126,0.273195876,0.590909091,0.282894737,FALSE
0.175115207,0.025210084,0.18556701,0.545454545,0.078947368,TRUE
0.156682028,0.075630252,0.108247423,0.5,0.072368421,TRUE
0.188940092,0.054621849,0.159793814,0.545454545,0.085526316,TRUE
0.433179724,0.180672269,0.175257732,0.227272727,0.289473684,TRUE
0.451612903,0.214285714,0.231958763,0.136363636,0.328947368,FALSE
0.447004608,0.033613445,0.201030928,0.545454545,0.282894737,TRUE
0.216589862,0.025210084,0.180412371,0.590909091,0.131578947,TRUE
0.221198157,0.037815126,0.180412371,0.545454545,0.105263158,TRUE
0.322580645,0.378151261,0.216494845,0.090909091,0.223684211,TRUE
0.33640553,0.361344538,0.25257732,0.136363636,0.223684211,TRUE
0.290322581,0.058823529,0.226804124,0.545454545,0.125,TRUE
0.124423963,0.260504202,0.180412371,0.272727273,0.032894737,TRUE
0.585253456,0.100840336,0.37628866,0.590909091,0.361842105,TRUE
0.165898618,0.147058824,0.134020619,0.363636364,0.072368421,TRUE
0.170506912,0.268907563,0.180412371,0.363636364,0.138157895,TRUE
0.290322581,0.285714286,0.164948454,0.227272727,0.197368421,TRUE
0.396313364,0.100840336,0.195876289,0.5,0.276315789,TRUE
0.341013825,0.163865546,0.195876289,0.409090909,0.25,TRUE
0.479262673,0.176470588,0.268041237,0.227272727,0.322368421,FALSE
0.207373272,0.06302521,0.159793814,0.545454545,0.105263158,TRUE
0.221198157,0.546218487,0.345360825,0.090909091,0.171052632,TRUE
0.705069124,0.693277311,0.448453608,0.227272727,0.664473684,FALSE
0.497695853,0.226890756,0.43814433,0.363636364,0.190789474,TRUE
0.419354839,1,0.396907216,0.181818182,0.486842105,FALSE
0.737327189,0.235294118,0.695876289,0.454545455,0.480263158,FALSE
0.870967742,0.764705882,0.773195876,0.136363636,0.921052632,FALSE
0.580645161,0.521008403,0.469072165,0.272727273,0.447368421,FALSE
0.552995392,0.869747899,0.463917526,0.227272727,0.578947368,FALSE
0.451612903,0.621848739,0.381443299,0.227272727,0.368421053,FALSE
0.506912442,0.546218487,0.551546392,0.136363636,0.486842105,FALSE
0.580645161,0.697478992,0.577319588,0.045454545,0.703947368,FALSE
0.829493088,0.768907563,0.845360825,0.136363636,0.901315789,FALSE
0.571428571,0.802521008,0.515463918,0.136363636,0.677631579,FALSE
0.64516129,0.806722689,0.489690722,0.272727273,0.572368421,FALSE
0.474654378,0.155462185,0.494845361,0.454545455,0.131578947,TRUE
0.516129032,0.525210084,0.463917526,0.227272727,0.355263158,TRUE
0.525345622,0.777310924,0.443298969,0.181818182,0.519736842,FALSE
0.760368664,0.630252101,0.778350515,0.090909091,0.861842105,FALSE
0.824884793,0.495798319,0.675257732,0.272727273,0.690789474,FALSE
0.686635945,0.693277311,0.577319588,0.090909091,0.822368421,FALSE
0.603686636,0.596638655,0.520618557,0.181818182,0.605263158,FALSE
0.723502304,0.672268908,0.577319588,0.227272727,0.684210526,FALSE
0.299539171,0.974789916,0.262886598,0,0.407894737,FALSE
0.612903226,0.659663866,0.592783505,0.181818182,0.5,FALSE
1,0.420168067,0.865979381,0.409090909,0.986842105,FALSE
0.64516129,0.705882353,0.634020619,0.090909091,0.736842105,FALSE
0.599078341,0.336134454,0.463917526,0.363636364,0.401315789,TRUE
0.65437788,0.773109244,0.618556701,0,0.684210526,FALSE
0.456221198,0.68907563,0.427835052,0.136363636,0.401315789,FALSE
0.898617512,0.630252101,0.902061856,0.136363636,1,FALSE
0.875576037,0.966386555,1,0.227272727,0.914473684,FALSE
0.267281106,0.084033613,0.180412371,0.318181818,0.236842105,FALSE
0.244239631,0.037815126,0.278350515,0.590909091,0.197368421,FALSE
0.129032258,0.025210084,0.113402062,0.772727273,0.184210526,FALSE
0.175115207,0.004201681,0.221649485,0.590909091,0.098684211,FALSE
0.428571429,0.058823529,0.340206186,0.590909091,0.328947368,FALSE
0.732718894,0.050420168,0.551546392,0.590909091,0.532894737,FALSE
0.216589862,0.016806723,0.139175258,0.772727273,0.309210526,FALSE
0.304147465,0.029411765,0.278350515,0.545454545,0.157894737,FALSE
0.350230415,0.067226891,0.242268041,0.590909091,0.243421053,FALSE
0.285714286,0.067226891,0.237113402,0.681818182,0.309210526,FALSE
0.271889401,0.008403361,0.201030928,0.636363636,0.144736842,FALSE
0.331797235,0.037815126,0.257731959,0.545454545,0.177631579,FALSE
0.235023041,0.058823529,0.103092784,0.590909091,0.217105263,FALSE
0.202764977,0.008403361,0.211340206,0.636363636,0.138157895,FALSE
0.193548387,0.021008403,0.237113402,0.727272727,0.315789474,FALSE
0.442396313,0.092436975,0.298969072,0.681818182,0.414473684,FALSE
0.299539171,0.058823529,0.221649485,0.772727273,0.328947368,FALSE
0.198156682,0.054621849,0.340206186,0.545454545,0.315789474,FALSE
0.3640553,0.025210084,0.298969072,0.772727273,0.276315789,FALSE
0.373271889,0.025210084,0.350515464,0.590909091,0.197368421,FALSE
0.529953917,0.092436975,0.329896907,0.545454545,0.486842105,FALSE
0.529953917,0.260504202,0.412371134,0.272727273,0.480263158,FALSE
0.373271889,0.071428571,0.304123711,0.545454545,0.322368421,FALSE
0.3640553,0.050420168,0.262886598,0.772727273,0.375,FALSE
0.718894009,0.260504202,0.381443299,0.272727273,0.690789474,FALSE
0.391705069,0.042016807,0.288659794,0.590909091,0.223684211,FALSE
0.230414747,0.021008403,0.195876289,0.545454545,0.059210526,FALSE
0.350230415,0.067226891,0.273195876,0.454545455,0.184210526,FALSE
0.30875576,0.046218487,0.195876289,0.681818182,0.243421053,FALSE
0.382488479,0.130252101,0.195876289,0.318181818,0.269736842,FALSE
0.225806452,0.016806723,0.273195876,0.454545455,0.078947368,FALSE
0.677419355,0.042016807,0.417525773,0.681818182,0.526315789,FALSE
0.359447005,0.193277311,0.25257732,0.227272727,0.296052632,FALSE
0.271889401,0.025210084,0.25257732,0.727272727,0.302631579,TRUE
0.30875576,0.050420168,0.067010309,0.590909091,0.309210526,FALSE
0.322580645,0.042016807,0.154639175,0.772727273,0.289473684,TRUE
0.285714286,0.037815126,0.159793814,0.681818182,0.256578947,TRUE
0.290322581,0.037815126,0.226804124,0.590909091,0.210526316,TRUE
0.235023041,0.079831933,0.237113402,0.5,0.217105263,TRUE
0.410138249,0.075630252,0.144329897,0.590909091,0.348684211,FALSE
0.221198157,0.046218487,0.046391753,0.727272727,0.269736842,TRUE
0.253456221,0.037815126,0.144329897,0.681818182,0.25,TRUE
0.410138249,0.096638655,0.170103093,0.454545455,0.296052632,TRUE
0.170506912,0.008403361,0.18556701,0.590909091,0.118421053,TRUE
0.267281106,0.029411765,0.175257732,0.545454545,0.210526316,TRUE
0.516129032,0.050420168,0.257731959,0.590909091,0.394736842,FALSE
0.580645161,0.210084034,0.242268041,0.136363636,0.460526316,FALSE
0.211981567,0.021008403,0.206185567,0.454545455,0.138157895,TRUE
0.211981567,0.004201681,0.216494845,0.5,0.111842105,TRUE
0,0,0.139175258,0.545454545,0.026315789,TRUE
0.216589862,0.012605042,0.237113402,0.545454545,0.157894737,TRUE
0.516129032,0.042016807,0.371134021,0.772727273,0.480263158,FALSE
0.258064516,0.037815126,0.139175258,0.818181818,0.309210526,TRUE
0.124423963,0.046218487,0.164948454,0.454545455,0.092105263,TRUE
